Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2024_1,1,34,31,7,6,5,5.94,41.9,-,01:33.1,01:13.9
2024_1,2,34,30,3,6,8,5.17,30,-,01:33.3,01:14.5
2024_1,3,33,27,3,2,5,4.19,18.5,-,01:35.4,01:15.3
2024_1,4,33,27,0,2,2,2.63,7.4,-,01:37.4,01:16.8
2024_1,5,34,32,5,7,7,5.72,37.5,-,01:33.5,01:15.0
2024_1,6,34,33,7,6,4,5.52,39.4,-,01:32.8,01:13.2
2024_1,7,34,20,1,3,4,4.45,20,-,-,01:16.1
2024_1,8,34,31,5,8,5,5.68,41.9,-,01:32.9,01:13.0
2024_1,9,34,33,3,3,11,4.79,18.2,-,01:33.2,01:15.5
2024_1,10,34,27,10,7,4,7.52,63,-,01:33.0,01:14.5
2024_1,11,34,18,5,6,0,6.22,61.1,-,01:36.5,01:14.9
2024_1,12,34,23,4,3,3,5.22,30.4,-,01:36.1,01:14.5
2024_1,13,34,27,1,5,4,4.19,22.2,-,01:35.5,01:15.4
2024_1,14,34,32,7,4,6,5.22,34.4,-,01:34.8,01:14.3
2024_1,15,30,8,0,1,1,3,12.5,-,01:38.1,01:16.5
2024_1,16,32,27,7,8,3,6.81,55.6,-,01:32.7,01:13.4
2024_1,17,34,26,2,7,3,4.85,34.6,-,01:33.5,01:14.4
2024_1,18,34,30,7,5,3,5.37,40,-,01:32.9,01:14.2
2024_1,19,34,25,16,2,2,8.28,72,-,01:32.1,01:13.4
2024_1,20,34,31,3,4,6,4.32,22.6,-,01:35.4,01:14.9
2024_1,21,33,29,2,3,2,3.62,17.2,-,01:35.6,01:14.7
2024_1,22,34,33,1,6,8,4.27,21.2,-,01:35.7,01:14.9
2024_1,23,33,30,5,2,4,4.17,23.3,-,01:32.9,01:15.4
2024_1,24,34,33,7,5,6,5.33,36.4,-,01:31.7,01:14.0
2024_1,25,34,25,5,7,3,5.92,48,-,01:34.9,01:14.5
2024_1,26,32,27,7,5,3,5.81,44.4,-,01:32.9,01:13.6
2024_1,27,33,26,11,5,4,7.46,61.5,-,01:31.1,01:14.2
2024_1,28,34,31,6,8,7,6.29,45.2,-,01:35.7,01:14.6
2024_1,29,34,31,4,9,5,5.58,41.9,-,01:32.1,01:14.9
2024_1,30,34,20,3,5,4,5.75,40,-,01:31.4,01:14.7
2024_1,31,34,30,4,12,6,6.33,53.3,-,01:34.7,01:14.3
2024_1,32,34,30,3,7,12,6.1,33.3,-,01:33.3,01:14.2
2024_1,33,27,13,0,0,2,2.38,0,-,01:36.3,01:17.5
2024_1,34,27,2,1,0,0,5.5,50,-,01:41.2,01:14.6
2024_1,35,34,31,7,6,9,6.52,41.9,-,01:34.3,01:13.7
2024_1,36,33,25,0,0,2,2.32,0,-,01:37.4,01:16.7
2024_1,37,34,27,5,4,2,4.96,33.3,-,01:34.3,01:14.8
2024_1,38,34,29,3,6,5,5.1,31,-,01:35.8,01:14.6
2024_1,39,34,33,2,5,8,4.42,21.2,-,01:33.9,01:14.9
2024_1,40,34,29,12,6,5,7.41,62.1,-,01:32.0,01:13.1
2024_1,41,33,21,1,1,3,3.24,9.5,-,01:38.9,01:14.6
2024_1,42,34,32,6,6,6,5.78,37.5,-,01:34.9,01:13.8
2024_1,43,29,20,0,2,3,3.25,10,-,01:34.9,01:15.3
2024_1,44,34,19,2,4,3,5.11,31.6,-,01:33.7,01:16.5
2024_1,45,34,33,4,5,7,4.97,27.3,-,01:34.5,01:14.8
2024_1,47,33,9,0,0,3,3.56,0,-,01:37.2,01:18.3
2024_1,48,34,32,7,7,3,5.63,43.8,-,01:35.8,01:14.1
2024_1,49,34,27,2,7,5,5.15,33.3,-,01:31.7,01:14.7
2024_1,50,32,27,3,3,2,3.81,22.2,-,01:32.4,01:15.3
2024_1,51,33,25,4,6,4,5.6,40,-,01:33.9,01:14.9
2024_1,52,34,29,3,6,3,4.41,31,-,01:34.8,01:14.9
2024_1,53,33,30,1,4,5,3.67,16.7,-,01:35.5,01:14.6
2024_1,54,34,24,7,2,6,6.21,37.5,-,01:33.9,01:13.6
2024_1,55,33,28,8,6,4,6.5,50,-,01:32.2,01:14.1
2024_1,56,34,29,8,6,4,6.24,48.3,-,01:33.1,01:14.1
2024_1,57,33,29,3,5,2,4.41,27.6,-,01:34.8,01:14.3
2024_1,58,34,34,9,6,5,5.82,44.1,-,01:34.3,01:14.3
2024_1,59,34,30,3,4,8,4.77,23.3,-,01:32.5,01:14.6
2024_1,61,33,28,3,8,2,5.25,39.3,-,01:32.4,01:13.3
2024_1,62,34,24,5,4,6,5.75,37.5,-,01:32.9,01:14.3
2024_1,63,34,32,6,6,7,5.56,37.5,-,01:35.9,01:14.0
2024_1,64,34,19,1,4,1,4.37,26.3,-,01:37.6,01:15.2
2024_1,65,22,3,2,0,0,6.67,66.7,-,01:29.8,01:13.5
2024_1,66,34,31,13,5,6,7.16,58.1,-,01:33.2,01:13.4
2024_1,67,34,30,11,5,6,6.87,53.3,-,01:33.1,01:13.8
2024_1,68,34,33,4,8,2,4.79,36.4,-,01:33.4,01:13.8
2024_1,69,34,30,4,7,5,5.03,36.7,-,01:35.5,01:13.8
2024_1,70,33,20,1,1,4,3.7,10,-,-,01:15.0
2024_1,71,27,19,0,1,2,2.79,5.3,-,01:39.3,01:17.0
2024_1,72,34,28,5,3,5,4.82,28.6,-,01:34.6,01:14.0
2024_1,73,34,31,5,6,6,5.77,35.5,-,01:31.1,01:13.4
2024_1,74,33,30,2,2,10,4.67,13.3,-,01:34.9,01:14.0
2024_1,75,34,26,5,4,3,5.46,34.6,-,01:35.5,01:14.0
2024_1,76,34,30,3,7,7,5.3,33.3,-,-,01:13.3
2024_1,77,32,27,2,3,4,4.07,18.5,-,01:34.8,01:14.1
2024_1,78,34,34,6,2,4,4.26,23.5,-,01:32.3,01:14.1
2024_1,79,34,30,7,6,5,5.83,43.3,-,01:34.7,01:13.7
2024_1,80,34,34,10,6,8,6.56,47.1,-,01:32.3,01:13.5
2024_1,81,22,1,0,1,0,8,100,-,-,01:16.1
2024_1,82,33,29,4,8,7,5.86,41.4,-,01:33.5,01:14.4
2024_1,83,34,32,5,6,10,5.84,34.4,-,01:34.4,01:13.4
2024_1,84,22,0,0,0,0,0,0,-,,
2024_1,85,33,30,4,1,5,4,16.7,-,01:35.9,01:14.4
2024_1,86,33,26,3,1,4,3.69,15.4,-,01:37.3,01:14.2
2024_1,87,34,31,4,0,10,4.52,12.9,-,01:35.7,01:14.7
2024_1,88,34,25,6,5,6,6.32,44,-,01:31.3,01:14.8
2024_1,89,34,33,6,3,3,4.64,27.3,-,01:38.8,01:14.8
2024_1,90,29,15,2,3,3,5.13,33.3,-,01:36.5,01:14.8
2024_1,91,34,28,7,3,4,5.32,35.7,-,01:33.2,01:14.4
2024_1,93,34,30,10,4,5,6.37,46.7,-,01:32.5,01:14.5
2024_1,94,34,33,7,6,3,5.42,39.4,-,01:33.0,01:14.4
2024_1,95,34,33,3,5,4,4.21,24.2,-,01:33.2,01:14.0
2024_1,96,34,32,5,8,6,5.72,40.6,-,01:31.2,01:14.2
2024_1,97,34,20,2,1,6,4.65,15,-,01:33.1,01:16.1
2024_1,98,33,21,3,0,3,3.57,14.3,-,01:40.1,01:14.7
2024_1,99,33,21,5,5,3,6,47.6,-,01:35.1,01:14.7
2024_1,100,34,30,9,3,2,5.17,40,-,01:32.5,01:14.5
2024_1,101,34,33,4,9,7,5.55,39.4,-,01:35.2,01:14.9
2024_1,102,33,19,2,3,3,4.26,26.3,-,01:37.6,01:15.9
2024_1,103,34,28,3,8,2,5,39.3,-,01:37.3,01:13.6
2024_1,104,34,33,6,5,2,4.73,33.3,-,01:34.1,01:15.1
2024_1,105,34,32,2,3,9,4.41,15.6,-,01:36.8,01:14.7
2024_1,106,24,2,0,0,0,4,0,-,-,01:17.7
2024_1,107,34,26,6,6,3,5.69,46.2,-,01:32.3,01:13.7
2024_1,108,34,32,3,7,4,4.59,31.3,-,01:37.5,01:15.2
2024_1,109,33,17,8,2,2,7.06,58.8,-,01:32.6,01:13.8
2024_1,110,34,33,7,5,5,5.48,36.4,-,01:34.0,01:14.3
